V4_1,Data Marking,calendar-years,Time,administrative-geography,Geography,week-number,Week,sex,Sex,age-groups,AgeGroups,recorded-deaths,Deaths
872,,2020,2020,K04000001,England and Wales,week-5,Week 05,male,Male,90+,90+,total-registered-deaths,Total registered deaths
7,,2020,2020,K04000001,England and Wales,week-19,Week 19,female,Female,20-24,20-24,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-19,Week 19,male,Male,15-19,15-19,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
1065,,2020,2020,K04000001,England and Wales,week-52,Week 52,male,Male,85-89,85-89,total-registered-deaths,Total registered deaths
5,,2020,2020,K04000001,England and Wales,week-47,Week 47,female,Female,1-4,01-04,total-registered-deaths,Total registered deaths
10,,2020,2020,K04000001,England and Wales,week-15,Week 15,female,Female,0-1,00-01,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-9,Week 09,all,All,all-ages,All ages,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
117,,2020,2020,K04000001,England and Wales,week-49,Week 49,male,Male,45-49,45-49,total-registered-deaths,Total registered deaths
65,,2020,2020,K04000001,England and Wales,week-15,Week 15,male,Male,40-44,40-44,total-registered-deaths,Total registered deaths
12,,2020,2020,K04000001,England and Wales,week-35,Week 35,female,Female,30-34,30-34,total-registered-deaths,Total registered deaths
376,,2020,2020,K04000001,England and Wales,week-24,Week 24,male,Male,65-69,65-69,total-registered-deaths,Total registered deaths
435,,2020,2020,K04000001,England and Wales,week-26,Week 26,female,Female,70-74,70-74,total-registered-deaths,Total registered deaths
713,,2020,2020,K04000001,England and Wales,week-22,Week 22,male,Male,75-79,75-79,total-registered-deaths,Total registered deaths
826,,2020,2020,K04000001,England and Wales,week-1,Week 01,male,Male,75-79,75-79,total-registered-deaths,Total registered deaths
1,,2020,2020,K04000001,England and Wales,week-36,Week 36,female,Female,1-4,01-04,total-registered-deaths,Total registered deaths
0,,2020,2020,K04000001,England and Wales,week-11,Week 11,all,All,5-9,05-09,deaths-involving-covid-19-registrations,Deaths involving COVID-19: registrations
