v4_0,calendar-years,Time,local-health-board,Geography,week-number,Week,cause-of-death,CauseOfDeath,place-of-death,PlaceOfDeath,registration-or-occurrence,RegistrationOrOccurrence
30,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
3,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
65,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
4,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
101,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
4,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
2,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
23,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2021,2021,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
8,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
1,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
18,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
1,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
29,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
1,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
5,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2021,2021,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
33,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
2,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
49,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
0,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
88,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
18,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
3,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
51,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,2021,2021,W11000025,Hywel Dda University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
27,2021,2021,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
3,2021,2021,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
56,2021,2021,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
9,2021,2021,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
149,2021,2021,W11000028,Aneurin Bevan University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
